SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;INCLUDEDBYMOEX;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;EVENINGSESSION;MORNINGSESSION;WAPRICE;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;REPLBOND;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
AT0000A2UF10;Raiff BIAG;Raiffeisen Bank Int AG;Корпоративные еврооблигации;AT0000A2UF10;;3;1000;USD;50000;0;1;TQUD;Т+: Облигации Д (USD) - безадрес.;21.01.2025;;0;;1;1;;0;0;;;21.01.2025;5;16,986301;26;98;124;21.12.2021;1000;Структурные облигации;22.12.2021;False;98;;Raiffeisen Bank International AG;10038786;1;83,56;80302,91;0;160605,82;0;160605,82;0;160605,82;100;;;;;100;100;1
CH0248531110;VTB-24 CHF;VTB CAPITAL S.A. 24 CHF;Корпоративные еврооблигации;CH0248531110;;;5000;CHF;70000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;24.10.2024;;;;1;0;1;0;0;;;24.10.2024;4,073;203,625;357;9;366;24.07.2014;5000;;;False;9;;ВТБ Кэпитал Эс.Эй. (VTB Capital S.A.);97053;1;98,32;571531,83;0;1143063,66;0;1143063,66;0;1143063,66;100;;;;;100;100;1
CH0419041618;RZD-25 CHF;RZD CAPITAL PLC 0.898 03/10/25;Корпоративные еврооблигации;CH0419041618;;;5000;CHF;70000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;03.10.2025;;;;1;0;1;0;0;;;03.10.2025;0,898;44,9;12;353;365;03.10.2019;5000;;;False;353;;RZD Capital P.L.C.;;1;99,48;555994,84;0;1111989,68;0;1111989,68;0;1111989,68;100;;;;;100;100;1
CH0419041634;RZD-28 CHF;RZD CAPITAL PLC 03/04/28;Корпоративные еврооблигации;CH0419041634;;;5000;CHF;30000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;03.04.2028;;;;1;0;1;0;0;;;03.04.2025;1,195;59,75;195;170;365;03.10.2019;5000;;;False;1266;;RZD Capital P.L.C.;;1;97,98;551007,59;0;1102015,18;0;1102015,18;0;1102015,18;100;;;;;100;100;1
CH1100259816;RZD-p CHF;RZD Capital PLC VAR UNDT;Корпоративные еврооблигации;CH1100259816;;;5000;CHF;50000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;;;;;1;0;1;0;0;;;23.06.2025;3,125;156,25;114;251;365;23.03.2021;5000;;;False;;;RZD Capital P.L.C.;;1;98,88;557907,32;0;1115814,64;0;1115814,64;0;1115814,64;100;;;;;100;100;1
KG000A3LSC78;Кыргыз. 01;Республика Кыргызстан 01;Корпоративные еврооблигации;KG000A3LSC78;;3;100;KGS;10000000;0;1;TQCB;Т+: Облигации - безадрес.;25.12.2025;;0;401;0;0;4;0;0;95,7565;20,72;25.12.2024;15,5;3,875;20;71;91;25.12.2023;100;;25.12.2023;False;436;;Республика Кыргызстан в лице Министерства финансов Кыргызской Республики;61120211;1;95,71;100,48;0;200,96;0;200,96;0;200,96;100;;;;;100;100;1
KG000A3LSJ06;Кыргыз. 02;Республика Кыргызстан 02;Корпоративные еврооблигации;KG000A3LSJ06;;3;100;RUB;10000000;0;1;TQCB;Т+: Облигации - безадрес.;26.12.2025;;0;404;0;0;4;0;0;95,22;20,15;26.12.2024;14,5;3,625;19;72;91;26.12.2023;100;;26.12.2023;False;437;;Республика Кыргызстан в лице Министерства финансов Кыргызской Республики;61120211;1;95,06;95,83;0;191,66;0;191,66;0;191,66;100;;;;;100;100;1
RU000A0A0RU0;ВТБС-1-544;Банк ВТБ С-1-544 (структурные);Корпоративные облигации;RU000A0A0RU0;6-544-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;08.06.2026;;;;1;0;;0;0;;;08.06.2026;;;490;601;1091;13.06.2023;1000;Структурные облигации;;False;601;;Банк ВТБ (публичное акционерное общество);7702070139;1;89,72;897,2;0;1794,4;0;1794,4;0;1794,4;100;;;;;100;100;1
RU000A0A0RV8;ВТБС-1-545;Банк ВТБ С-1-545 (структурные);Корпоративные облигации;RU000A0A0RV8;6-545-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;15.06.2026;;;;1;0;;0;0;;;15.06.2026;;;483;608;1091;20.06.2023;1000;Структурные облигации;;False;608;;Банк ВТБ (публичное акционерное общество);7702070139;1;92,54;925,4;0;1850,8;0;1850,8;0;1850,8;100;;;;;100;100;1
RU000A0A0RW6;ВТБС-1-546;Банк ВТБ С-1-546 (структурные);Корпоративные облигации;RU000A0A0RW6;6-546-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;24.06.2026;;;;1;0;;0;0;;;24.06.2026;;;475;617;1092;28.06.2023;1000;Структурные облигации;;False;617;;Банк ВТБ (публичное акционерное общество);7702070139;1;94,98;949,8;0;1899,6;0;1899,6;0;1899,6;100;;;;;100;100;1
